team,confederation,total_wc_appearances,total_matches,total_wins,total_draws,total_losses,total_goals_scored,total_goals_conceded,goal_difference,win_rate,best_finish,titles,finals_reached,semis_reached,quarters_reached,last_wc_year,first_wc_year,consecutive_appearances_current,host_times,elo_peak_approx,notes
Paraguay,CONMEBOL,10,38,9,17,12,37,49,-12,0.237,Quarter-finals,0,0,0,1,2026,1930,3,0,1780,2010 QF; always competitive; 2026 with Almirón
Australia,AFC,7,24,6,4,14,30,52,-22,0.25,Round of 16,0,0,0,0,2026,1974,6,0,1720,2006 R16 under Hiddink; consistent modern era
Senegal,CAF,5,18,7,5,6,19,16,3,0.389,Quarter-finals,0,0,0,1,2026,2002,1,0,1780,2002 QF debut; 2021 AFCON champions; rising
Ghana,CAF,5,17,5,4,8,15,22,-7,0.294,Quarter-finals,0,0,0,1,2026,2006,1,0,1720,2010 near semi; Suárez handball; Kudus era promising
Ivory Coast,CAF,4,10,1,3,6,7,16,-9,0.1,Round of 32,0,0,0,0,2026,2006,1,0,1720,Drogba era wasted by hard groups
Iran,AFC,7,18,3,3,12,13,34,-21,0.167,Group stage,0,0,0,0,2026,1978,7,0,1730,Consistent Asian qualifier; Taremi era
Saudi Arabia,AFC,7,19,4,3,12,16,41,-25,0.211,Round of 16,0,0,0,1,2026,1994,5,0,1650,1994 R16; 2022 upset Argentina; improving
Ecuador,CONMEBOL,5,13,4,2,7,14,16,-2,0.308,Round of 16,0,0,0,0,2026,2002,3,0,1730,2006 R16; Caicedo generation could go far
Algeria,CAF,5,13,4,2,7,10,16,-6,0.308,Round of 16,0,0,0,0,2026,1982,1,0,1710,2014 R16; 2026 Mahrez/Aouar generation
Egypt,CAF,4,8,0,3,5,4,12,-8,0.0,Round of 16,0,0,0,0,2026,1934,1,0,1700,Mo Salah's only WC likely; historic nation
Tunisia,CAF,7,18,2,4,12,10,34,-24,0.111,Group stage,0,0,0,0,2026,1978,5,0,1650,6 WCs never past groups; tough luck or limitation
New Zealand,OFC,3,7,1,0,6,5,22,-17,0.143,Group stage,0,0,0,0,2026,1982,1,0,1570,Only OFC team; game results irrelevant vs quality gap
Norway,UEFA,4,11,5,1,5,11,9,2,0.455,Quarter-finals,0,0,0,2,2026,1938,1,0,1820,1994/1998 competitive; Haaland changes everything
Scotland,UEFA,9,23,4,7,12,25,41,-16,0.174,Group stage,0,0,0,0,2026,1954,1,0,1790,8 WCs never past groups; 28-year wait ends 2026
Bulgaria,UEFA,7,26,7,6,13,27,35,-8,0.269,Fourth place,0,0,0,1,1998,1962,0,0,1820,1994 Stoichkov golden era; declined since
Romania,UEFA,7,21,8,3,10,30,32,-2,0.381,Quarter-finals,0,0,0,1,1994,1930,0,0,1820,1994 Hagi golden era; 2000s collapse
Czech Republic,UEFA,5,16,6,2,8,17,25,-8,0.375,Runner-up,0,2,2,2,2026,1934,1,0,1840,As Czechoslovakia: 2 finals; modern era 1 group stage
