team_a,team_b,total_wc_matches,team_a_wins,draws,team_b_wins,team_a_goals,team_b_goals,goal_difference_a,last_wc_meeting_year,last_wc_meeting_stage,last_wc_result,most_famous_match,most_famous_match_score,most_famous_match_year,most_famous_match_stage
England,Portugal,5,2,2,1,6,6,0,2006,Quarter-final,England lost 0-0 (1-3p),England 1-0 Portugal,1-0,1966.0,Third-place
France,Brazil,3,1,0,2,4,5,-1,2006,Quarter-final,France won 1-0,France 3-0 Brazil (1998 final),3-0,1998.0,Final
France,Croatia,2,2,0,0,7,3,4,2018,Final,France won 4-2,France 4-2 Croatia,4-2,2018.0,Final
France,England,4,2,0,2,9,9,0,2026,Bronze final,England won 6-4,France 2-1 England,2-1,2022.0,Quarter-final
France,Germany,4,2,1,1,7,7,0,2014,Quarter-final,Germany won 1-0,West Germany 3-3 France (5-4p),3-3 (5-4p),1982.0,Semi-final
France,Morocco,3,3,0,0,6,1,5,2026,Quarter-final,France won 2-0,France 2-0 Morocco,2-0,2022.0,Semi-final
France,Portugal,4,2,1,1,4,3,1,2006,Semi-final,France won 1-0,France 2-1 Portugal,2-1,2006.0,Semi-final
Germany,Argentina,6,3,1,2,10,8,2,2014,Final,Germany won 1-0 AET,Germany 1-0 Argentina (AET),1-0,2014.0,Final
Germany,Croatia,3,2,0,1,5,4,1,2022,Group Stage,Germany lost 1-2,Germany 2-0 Croatia,2-0,2014.0,Group Stage
Germany,England,5,3,1,1,12,7,5,2010,Round of 16,Germany won 4-1,West Germany 4-2 England (AET),4-2,1966.0,Final
Germany,Italy,5,2,2,1,7,8,-1,2006,Semi-final,Italy won 2-0 AET,West Germany 3-4 Italy (AET Battle of the Century),3-4,1970.0,Semi-final
Germany,Netherlands,3,2,0,1,5,4,1,1990,Semi-final,Germany won 2-1,West Germany 2-1 Netherlands (1974 final),2-1,1974.0,Final
Germany,Poland,3,2,0,1,4,1,3,2014,Group Stage,Draw 0-0 (2002),West Germany 1-0 Poland,1-0,1974.0,Group Stage
Italy,Argentina,3,1,0,2,3,5,-2,1990,Semi-final,Argentina won 1-1 (4-3p),West Germany beat Argentina in 1990 final,,,
Italy,Brazil,4,0,2,2,3,5,-2,1994,Final,Brazil won 0-0 (4-2p),Brazil 3-2 Italy,3-2,1982.0,Group Stage
Italy,France,3,1,1,1,4,4,0,2006,Final,Italy won 1-1 (5-3p),Italy 1-1 France (5-3p Zidane headbutt),1-1 (5-3p),2006.0,Final
Italy,Germany,5,2,2,1,8,7,1,2006,Semi-final,Italy won 2-0 AET,Italy 4-3 West Germany (AET Game of Century),4-3,1970.0,Semi-final
Japan,Belgium,1,0,0,1,2,3,-1,2018,Round of 16,Belgium won 3-2,Belgium 3-2 Japan (comeback),3-2,2018.0,Round of 16
Japan,Croatia,1,0,0,1,1,1,0,2022,Round of 16,Croatia won 1-1 (3-1p),Croatia 1-1 Japan (3-1p),1-1 (3-1p),2022.0,Round of 16
Morocco,France,3,0,0,3,0,6,-6,2026,Quarter-final,France won 2-0,France 2-0 Morocco,2-0,2022.0,Semi-final
Morocco,Spain,3,1,1,1,2,1,1,2022,Round of 16,Morocco won 0-0 (3-0p),Morocco 0-0 Spain (3-0p),0-0 (3-0p),2022.0,Round of 16
Netherlands,Argentina,5,1,2,2,7,8,-1,2022,Quarter-final,Argentina won 2-2 (4-3p),Netherlands 3-1 Argentina (1978 final),3-1,1978.0,Final
Netherlands,Brazil,4,1,1,2,6,9,-3,2010,Quarter-final,Netherlands won 2-1,Brazil 2-1 Netherlands,2-1,2010.0,Quarter-final
Netherlands,Morocco,1,0,1,0,1,1,0,2026,Round of 32,Morocco won 3-2 on pens,Netherlands 1-1 Morocco (2-3p),1-1 (2-3p),2026.0,Round of 32
Netherlands,Uruguay,4,2,1,1,8,5,3,2010,Semi-final,Netherlands won 3-2,Netherlands 3-2 Uruguay,3-2,2010.0,Semi-final
Portugal,France,4,1,1,2,3,4,-1,2006,Semi-final,France won 1-0,France 1-0 Portugal,1-0,2006.0,Semi-final
Portugal,Morocco,2,1,0,1,4,3,1,2022,Quarter-final,Morocco won 1-0,Morocco 1-0 Portugal,1-0,2022.0,Quarter-final
Senegal,France,1,0,1,0,0,0,0,2002,Group Stage,Draw — Senegal won in earlier game,Senegal 1-0 France,1-0,2002.0,Group Stage
South Korea,Germany,3,1,1,1,3,5,-2,2018,Group Stage,South Korea won 2-0,South Korea 2-0 Germany,2-0,2018.0,Group Stage
Spain,Argentina,2,1,0,1,2,2,0,2026,Final,Spain won 1-0 AET,Spain 1-0 Argentina,1-0 AET,2026.0,Final
Spain,Belgium,2,1,1,0,3,2,1,2026,Quarter-final,Spain won 2-1,Spain 2-1 Belgium,2-1,2026.0,Quarter-final
Spain,England,3,2,0,1,5,3,2,1982,Group Stage,Draw 0-0,Spain 2-0 England,2-0,1950.0,Group Stage
Spain,France,6,3,2,1,8,7,1,2026,Semi-final,Spain won 2-0,Spain 2-1 France,2-1,1934.0,Group Stage
Spain,Germany,3,1,1,1,3,3,0,2010,Semi-final,Spain won 1-0,Spain 1-0 Germany,1-0,2010.0,Semi-final
Spain,Italy,3,1,1,1,4,4,0,1994,Quarter-final,Italy won 2-1,Spain 2-1 Italy,2-1,1994.0,Quarter-final
Spain,Morocco,3,1,1,1,1,2,-1,2022,Round of 16,Morocco won 0-0 (3-0p),Morocco 0-0 Spain (3-0p),0-0 (3-0p),2022.0,Round of 16
Spain,Netherlands,3,1,1,1,4,4,0,2014,Group Stage,Spain lost 1-5,Spain 1-0 Netherlands (AET),1-0,2010.0,Final
Spain,Portugal,4,2,2,0,7,5,2,2026,Round of 16,Spain won 1-0,Spain 3-3 Portugal,3-3,2018.0,Group Stage
Uruguay,Argentina,4,2,0,2,9,10,-1,1930,Final,Uruguay won 4-2,Uruguay 4-2 Argentina (first WC final),4-2,1930.0,Final
Uruguay,Brazil,5,2,1,2,8,10,-2,1970,Semi-final,Brazil won 3-1,Uruguay 2-1 Brazil (Maracanazo),2-1,1950.0,Final Round
Uruguay,Germany,3,0,1,2,4,6,-2,2010,Third-place,Germany won 3-2,Germany 3-2 Uruguay,3-2,2010.0,Third-place
